sample_id,similarity_threshold,fight_threshold,hawk_dove_C,police_density,n_steps,mean_fighting,std_fighting,peak_fighting,min_fighting,fighting_range,cv_fighting,max_step_jump,mean_abs_step_jump,early_mean_fighting,late_mean_fighting,absolute_drift,relative_drift,fraction_zero_fighting,mean_fighting_fraction,mean_happy_fraction,mean_entropy,mean_arrests,instability_score,unstable_flag
0,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,974.82,14.546738466061731,1004.0,941.0,63.0,0.014922486680681284,49.0,15.858585858585858,977.12,972.52,4.600000000000023,0.004718819884696685,0.0,0.7615781249999999,0.10700781249999998,0.6355478008270263,147.57,0.007550018875047138,False
1,0.8787831726949662,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,982.5,15.705094714773292,1022.0,948.0,74.0,0.015984829226232358,51.0,15.646464646464647,975.64,989.36,13.720000000000027,0.013964376590330816,0.0,0.7675781250000003,0.0006796875,0.6513965549468993,147.67,0.0,False
2,0.6727395724970847,0.39297564253211026,2.5022663780488075,0.09289467422291635,100,24.9,7.091544260596559,48.0,11.0,37.0,0.284800974321147,37.0,7.444444444444445,23.58,26.22,2.6400000000000006,0.1060240963855422,0.0,0.019453125,0.13153906250000003,0.6253826759338379,5.62,0.7736097850289245,False
3,0.6727395724970847,-0.12414321377873416,10.507366719283162,0.09289467422291635,100,884.02,20.93226218066265,928.0,834.0,94.0,0.023678493903602466,60.0,17.949494949494948,885.62,882.42,3.2000000000000455,0.0036198276057103295,0.0,0.6906406249999999,0.08922656250000001,0.643052449798584,146.55,0.17264923597091594,False
4,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.12157831206917762,100,765.2,19.66011190202131,822.0,718.0,104.0,0.025692775616860047,61.0,19.353535353535353,771.92,758.48,13.43999999999994,0.017564035546262336,0.0,0.5978125,0.08981250000000002,0.6386787715911866,188.63,0.23599143236988523,False
5,0.8787831726949662,0.39297564253211026,10.507366719283162,0.12157831206917762,100,5.72,3.228250300085172,14.0,0.0,14.0,0.5643794230918133,11.0,3.3333333333333335,6.42,5.02,1.4000000000000004,0.24475524475524482,0.02,0.0044687500000000005,0.0006171875000000001,0.6510668243408203,2.08,1.8842249866150713,True
6,0.246988988481462,0.40771510675549516,15.706631660927085,0.04546140844002366,100,51.01,7.007845603322037,72.0,34.0,38.0,0.13738179971225323,28.0,8.505050505050505,50.3,51.72,1.4200000000000017,0.02783767888649288,0.0,0.0398515625,0.9973203124999999,0.5933493274688721,0.11,0.16945061300376027,False
7,0.37003983287140724,0.40771510675549516,15.706631660927085,0.04546140844002366,100,62.6,8.0820789404707,83.0,42.0,41.0,0.12910669233978753,24.0,10.05050505050505,60.6,64.6,3.999999999999993,0.06389776357827465,0.0,0.04890625,0.9905078125,0.4401740394592285,0.46,0.2845019112021285,False
8,0.246988988481462,-0.05561854764819141,15.706631660927085,0.04546140844002366,100,516.34,29.891543954770885,585.0,460.0,125.0,0.05789120338298579,42.0,14.06060606060606,533.96,498.72,35.24000000000001,0.06824960297478407,0.0,0.4033906249999999,0.98628125,0.6712255462646485,51.22,0.15502997310645,False
9,0.246988988481462,0.40771510675549516,3.496816435176879,0.04546140844002366,100,79.26,11.852949000143383,109.0,44.0,65.0,0.14954515518727457,38.0,12.393939393939394,74.38,84.14,9.760000000000005,0.12313903608377498,0.0,0.061921875,0.9963046874999999,0.57732416305542,0.33,0.546515384451257,False
