repetition,seed,aggressiveness_mean,total_arrests,initial_fans,remaining_fans,arrest_fraction
1,42,0.0,0,1280,1280,0.0
1,42,0.2,173,1280,1107,0.13515625
1,42,0.4,442,1280,838,0.3453125
1,42,0.6,550,1280,730,0.4296875
1,42,0.8,610,1280,670,0.4765625
1,42,1.0,622,1280,658,0.4859375
2,43,0.0,0,1280,1280,0.0
2,43,0.2,193,1280,1087,0.15078125
2,43,0.4,460,1280,820,0.359375
2,43,0.6,586,1280,694,0.4578125
2,43,0.8,645,1280,635,0.50390625
2,43,1.0,631,1280,649,0.49296875
