aggressiveness_mean,runs,mean_total_arrests,std_total_arrests,min_total_arrests,max_total_arrests,mean_arrest_fraction,std_arrest_fraction,mean_remaining_fans,std_remaining_fans
0.0,2,0.0,0.0,0,0,0.0,0.0,1280.0,0.0
0.2,2,183.0,14.142135623730951,173,193,0.14296875,0.011048543456039806,1097.0,14.142135623730951
0.4,2,451.0,12.727922061357855,442,460,0.35234375,0.009943689110435808,829.0,12.727922061357855
0.6,2,568.0,25.45584412271571,550,586,0.44375,0.019887378220871676,712.0,25.45584412271571
0.8,2,627.5,24.748737341529164,610,645,0.490234375,0.01933495104806966,652.5,24.748737341529164
1.0,2,626.5,6.363961030678928,622,631,0.48945312500000004,0.004971844555217885,653.5,6.363961030678928
