sample_id,category,similarity_threshold,fight_threshold,hawk_dove_C,police_density,valid,failure_code,seed,warmup_steps,runtime_seconds,mean_fighting,std_fighting,peak_fighting,mean_fighting_fraction,arrests_measurement,mean_arrests_per_step,mean_spatial_entropy_local,mean_similarity,mean_happy_fraction,mean_win_probability,mean_arrest_probability
25,invalid,0.532506992155686,-0.25610725656151767,17.308747354894876,0.02992366442456841,False,warmup_not_converged,42,2000,49.961877800000366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,invalid,0.532506992155686,0.2727522991597653,17.431334823649376,0.03422640040516853,False,warmup_not_converged,42,2000,52.79144920001272,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,invalid,0.37744814730249343,0.16315327063202867,2.091736541315913,0.10092505192384123,False,warmup_not_converged,42,2000,22.134406699973624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,invalid,0.5102645595092327,0.30657950416207325,4.887736490834504,0.110580619238317,False,warmup_not_converged,42,2000,48.54463980003493,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,invalid,0.5102645595092327,0.21441543027758603,4.887736490834504,0.110580619238317,False,warmup_not_converged,42,2000,47.87810950004496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,invalid,0.5102645595092327,0.30657950416207325,1.1033626199699937,0.110580619238317,False,warmup_not_converged,42,2000,48.18406139995204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,invalid,0.4656344367191195,-0.07845866680145258,18.973760421946643,0.10232425119727849,False,warmup_not_converged,42,2000,23.06647650001105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,invalid,0.4656344367191195,-0.1172412902116775,18.973760421946643,0.10232425119727849,False,warmup_not_converged,42,2000,22.4697487000376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,invalid,0.4656344367191195,-0.07845866680145258,13.453853865526614,0.10232425119727849,False,warmup_not_converged,42,2000,21.3459422000451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,invalid,0.4656344367191195,-0.07845866680145258,18.973760421946643,0.14036562705412506,False,warmup_not_converged,42,2000,20.77870330004953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,invalid,0.5953443287871778,0.23309471756219868,14.706071578059344,0.12179159115999935,False,warmup_not_converged,42,2000,51.56097510003019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
92,invalid,0.5953443287871778,0.3095697030425072,14.706071578059344,0.12179159115999935,False,warmup_not_converged,42,2000,51.40079909999622,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,invalid,0.5953443287871778,0.23309471756219868,8.378711040318011,0.12179159115999935,False,warmup_not_converged,42,2000,51.21289490000345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
96,invalid,0.6097277223132551,-0.300190094858408,6.681999822426587,0.07040891088545322,False,warmup_not_converged,42,2000,48.22979060001671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
97,invalid,0.6156014423817396,-0.300190094858408,6.681999822426587,0.07040891088545322,False,warmup_not_converged,42,2000,44.777763699996285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
98,invalid,0.6097277223132551,-0.26751937866210934,6.681999822426587,0.07040891088545322,False,warmup_not_converged,42,2000,46.79108200001065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,invalid,0.6097277223132551,-0.300190094858408,2.8817003338597713,0.07040891088545322,False,warmup_not_converged,42,2000,47.200195700046606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,invalid,0.6097277223132551,-0.300190094858408,6.681999822426587,0.014191723968833685,False,warmup_not_converged,42,2000,50.72295809997013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
101,invalid,0.6156014423817396,-0.26751937866210934,2.8817003338597713,0.014191723968833685,False,warmup_not_converged,42,2000,51.33704690000741,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
156,invalid,0.41590522504411637,-0.2958622008562088,9.996370300650595,0.05439972581341863,False,warmup_not_converged,42,2000,18.801925600040704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
158,invalid,0.41590522504411637,0.24335744306445128,9.996370300650595,0.05439972581341863,False,warmup_not_converged,42,2000,18.754080199985765,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
