sample_id,category,similarity_threshold,fight_threshold,hawk_dove_C,police_density
25,missing,0.532506992155686,-0.25610725656151767,17.308747354894876,0.02992366442456841
29,missing,0.532506992155686,0.2727522991597653,17.431334823649376,0.03422640040516853
34,missing,0.37744814730249343,0.16315327063202867,2.091736541315913,0.10092505192384123
42,missing,0.5102645595092327,0.30657950416207325,4.887736490834504,0.110580619238317
44,missing,0.5102645595092327,0.21441543027758603,4.887736490834504,0.110580619238317
45,missing,0.5102645595092327,0.30657950416207325,1.1033626199699937,0.110580619238317
60,missing,0.4656344367191195,-0.07845866680145258,18.973760421946643,0.10232425119727849
62,missing,0.4656344367191195,-0.1172412902116775,18.973760421946643,0.10232425119727849
63,missing,0.4656344367191195,-0.07845866680145258,13.453853865526614,0.10232425119727849
64,missing,0.4656344367191195,-0.07845866680145258,18.973760421946643,0.14036562705412506
90,missing,0.5953443287871778,0.23309471756219868,14.706071578059344,0.12179159115999935
92,missing,0.5953443287871778,0.3095697030425072,14.706071578059344,0.12179159115999935
93,missing,0.5953443287871778,0.23309471756219868,8.378711040318011,0.12179159115999935
96,missing,0.6097277223132551,-0.300190094858408,6.681999822426587,0.07040891088545322
97,missing,0.6156014423817396,-0.300190094858408,6.681999822426587,0.07040891088545322
98,missing,0.6097277223132551,-0.26751937866210934,6.681999822426587,0.07040891088545322
99,missing,0.6097277223132551,-0.300190094858408,2.8817003338597713,0.07040891088545322
100,missing,0.6097277223132551,-0.300190094858408,6.681999822426587,0.014191723968833685
101,missing,0.6156014423817396,-0.26751937866210934,2.8817003338597713,0.014191723968833685
156,missing,0.41590522504411637,-0.2958622008562088,9.996370300650595,0.05439972581341863
158,missing,0.41590522504411637,0.24335744306445128,9.996370300650595,0.05439972581341863
159,missing,0.41590522504411637,-0.2958622008562088,2.294820405077189,0.05439972581341863
217,missing,0.5816180537920446,-0.0035757713019847204,3.9215918142348527,0.14653147857636212
222,missing,0.4078544656280428,0.3152972809970379,14.288477496802805,0.03565938547253608
224,missing,0.4078544656280428,0.10091730356216433,14.288477496802805,0.03565938547253608
225,missing,0.4078544656280428,0.3152972809970379,12.081386528629809,0.03565938547253608
234,missing,0.4875461849849671,0.15872026011347773,11.47340490380302,0.06806675935164093
236,missing,0.4875461849849671,-0.09878881126642225,11.47340490380302,0.06806675935164093
237,missing,0.4875461849849671,0.15872026011347773,17.22214018031955,0.06806675935164093
256,missing,0.4366642259992659,-0.23061477392911908,2.8644891895353792,0.06100730035454034
257,missing,0.4819551871623844,0.19536471143364909,7.085041224118322,0.06100730035454034
283,missing,0.432392480969429,0.28212574124336254,2.3893518929369746,0.01966835418716073
343,missing,0.519192123459652,0.19242073893547063,18.19284081691876,0.02719940261915326
347,missing,0.519192123459652,-0.2156836852431297,1.323083609342575,0.12081178097054361
361,missing,0.4633518532849848,-0.14413226097822185,15.410853957757352,0.07769762428477406
