output,parameter,S1,S1_conf
mean_fighting,similarity_threshold,0.12008089830333397,0.2254515864172847
mean_fighting,fight_threshold,0.44061461899196813,0.45409752651298046
mean_fighting,hawk_dove_C,-0.01325868615179458,0.14847152120175777
mean_fighting,police_density,0.048918311461122244,0.1697669700792955
std_fighting,similarity_threshold,0.17372620256847612,0.3426342264643881
std_fighting,fight_threshold,0.3727354722058317,0.4504364697972225
std_fighting,hawk_dove_C,0.03822696116350236,0.2364468024702398
std_fighting,police_density,0.08790958564366264,0.30459137017778526
peak_fighting,similarity_threshold,0.10520966902843665,0.20767154579912675
peak_fighting,fight_threshold,0.43558862092891115,0.450624868746517
peak_fighting,hawk_dove_C,-0.008532424536689405,0.16261724382576653
peak_fighting,police_density,0.0729908769059117,0.1521291349882052
mean_fighting_fraction,similarity_threshold,0.12008089830333402,0.2254515864172846
mean_fighting_fraction,fight_threshold,0.44061461899196813,0.45409752651298046
mean_fighting_fraction,hawk_dove_C,-0.01325868615179463,0.14847152120175772
mean_fighting_fraction,police_density,0.04891831146112229,0.1697669700792955
arrests_measurement,similarity_threshold,0.1274220308778624,0.18846346974758152
arrests_measurement,fight_threshold,0.6092550955666931,0.25500877042532116
arrests_measurement,hawk_dove_C,0.026617832678892756,0.13343463698815242
arrests_measurement,police_density,0.05058237772472273,0.09743081255753898
mean_arrests_per_step,similarity_threshold,0.12742203087786236,0.18846346974758152
mean_arrests_per_step,fight_threshold,0.6092550955666929,0.2550087704253211
mean_arrests_per_step,hawk_dove_C,0.026617832678892724,0.13343463698815244
mean_arrests_per_step,police_density,0.05058237772472265,0.09743081255753894
mean_spatial_entropy_local,similarity_threshold,0.3299071994163173,0.43778350585978765
mean_spatial_entropy_local,fight_threshold,-0.23861555070872767,0.19607558770339126
mean_spatial_entropy_local,hawk_dove_C,-0.03350462885341199,0.20791005841660098
mean_spatial_entropy_local,police_density,-0.01645693760887495,0.13038406717172005
mean_similarity,similarity_threshold,0.5004183171952926,0.3824750450910193
mean_similarity,fight_threshold,-0.17220803633215093,0.11679952271226134
mean_similarity,hawk_dove_C,0.003932892413571379,0.1303929810945214
mean_similarity,police_density,0.005752256921836288,0.1324877824750376
mean_happy_fraction,similarity_threshold,0.8655761250158184,0.37750139310344233
mean_happy_fraction,fight_threshold,-0.037595126492527074,0.045682516642887576
mean_happy_fraction,hawk_dove_C,-0.012294861597918635,0.027687849371308568
mean_happy_fraction,police_density,-0.010282458779606457,0.02602753892176852
mean_win_probability,similarity_threshold,0.3238362969872813,0.38921074286426177
mean_win_probability,fight_threshold,-0.22913489857452532,0.20921459363749464
mean_win_probability,hawk_dove_C,0.013804298647254697,0.16939327170072707
mean_win_probability,police_density,0.0015506247128399605,0.12480912700067447
mean_arrest_probability,similarity_threshold,0.020305169614603436,0.0382584119426985
mean_arrest_probability,fight_threshold,0.00014744426452305157,0.04324102848147223
mean_arrest_probability,hawk_dove_C,0.013028191294171697,0.01818945715503322
mean_arrest_probability,police_density,0.9485309577823074,0.4040615074906971
