output,parameter,S1,S1_conf
mean_fighting,similarity_threshold,0.11656674371151807,0.16392188057376092
mean_fighting,fight_threshold,0.7103268720016874,0.37842888745653974
mean_fighting,hawk_dove_C,-0.025084151602329328,0.0650581206909014
mean_fighting,police_density,-0.0029624461845833778,0.21990562220798954
std_fighting,similarity_threshold,-0.05181153068096617,0.5268467853869969
std_fighting,fight_threshold,0.5889396924223584,0.335380122483331
std_fighting,hawk_dove_C,0.1390848287886609,0.42320385059028687
std_fighting,police_density,-0.06127939757989987,0.20279601711980658
peak_fighting,similarity_threshold,0.08805062926561526,0.1392208125759046
peak_fighting,fight_threshold,0.6981967157420563,0.36918719980465553
peak_fighting,hawk_dove_C,-0.03234366902717862,0.07680690890404669
peak_fighting,police_density,-0.015341102365876966,0.21299963105682657
mean_fighting_fraction,similarity_threshold,0.11656674371151794,0.16392188057376092
mean_fighting_fraction,fight_threshold,0.7103268720016875,0.37842888745653974
mean_fighting_fraction,hawk_dove_C,-0.02508415160232945,0.0650581206909014
mean_fighting_fraction,police_density,-0.0029624461845834237,0.2199056222079896
arrests_measurement,similarity_threshold,0.025828534022701036,0.11972819512206752
arrests_measurement,fight_threshold,0.4628774714913618,0.17211745897950506
arrests_measurement,hawk_dove_C,0.0017891713317463168,0.04898241133194312
arrests_measurement,police_density,0.029796645090754883,0.16287398361376412
mean_arrests_per_step,similarity_threshold,0.025828534022701036,0.11972819512206752
mean_arrests_per_step,fight_threshold,0.46287747149136166,0.17211745897950503
mean_arrests_per_step,hawk_dove_C,0.0017891713317463058,0.04898241133194312
mean_arrests_per_step,police_density,0.02979664509075487,0.1628739836137641
mean_spatial_entropy_local,similarity_threshold,0.5371148175760037,0.27814622930278377
mean_spatial_entropy_local,fight_threshold,-0.18842972741229583,0.16692033023840844
mean_spatial_entropy_local,hawk_dove_C,-0.07882975533794385,0.20135735913258132
mean_spatial_entropy_local,police_density,-0.011402920563923178,0.1438048675939822
mean_similarity,similarity_threshold,0.6556837294843898,0.3006375287944046
mean_similarity,fight_threshold,-0.11074725106383328,0.11335465306165554
mean_similarity,hawk_dove_C,-0.05736073125745686,0.1548492730022474
mean_similarity,police_density,0.025923857219142993,0.12323108032224073
mean_happy_fraction,similarity_threshold,0.9750923949240187,0.4186692554213701
mean_happy_fraction,fight_threshold,-0.014480547869763348,0.03408976395683411
mean_happy_fraction,hawk_dove_C,-0.008440920032365108,0.013590197037584364
mean_happy_fraction,police_density,0.006526337117353366,0.03008906471531289
mean_win_probability,similarity_threshold,0.5482591110473434,0.27446566161157826
mean_win_probability,fight_threshold,-0.17906985942162054,0.17683546663940755
mean_win_probability,hawk_dove_C,-0.07546332271671417,0.1868742315387545
mean_win_probability,police_density,0.009438961617089894,0.11264868968845457
mean_arrest_probability,similarity_threshold,-0.0018598154197991786,0.02026133142120393
mean_arrest_probability,fight_threshold,-0.009553545045467097,0.02356894192061256
mean_arrest_probability,hawk_dove_C,0.01045097836107457,0.012606708365373972
mean_arrest_probability,police_density,0.9803797607646701,0.42583169952781685
