sample_id,similarity_threshold,fight_threshold,hawk_dove_C,police_density,n_steps,mean_fighting,std_fighting,peak_fighting,min_fighting,fighting_range,cv_fighting,max_step_jump,mean_abs_step_jump,early_mean_fighting,late_mean_fighting,absolute_drift,relative_drift,fraction_zero_fighting,mean_fighting_fraction,mean_happy_fraction,mean_entropy,mean_arrests,instability_score,unstable_flag
0,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,974.82,14.546738466061731,1004.0,941.0,63.0,0.014922486680681284,49.0,15.858585858585858,977.12,972.52,4.600000000000023,0.004718819884696685,0.0,0.7615781249999999,0.10700781249999998,0.6355478008270263,147.57,0.005428678397603849,False
1,0.8787831726949662,-0.12414321377873416,2.5022663780488075,0.09289467422291635,100,982.5,15.705094714773292,1022.0,948.0,74.0,0.015984829226232358,51.0,15.646464646464647,975.64,989.36,13.720000000000027,0.013964376590330816,0.0,0.7675781250000003,0.0006796875,0.6513965549468993,147.67,0.0,False
2,0.6727395724970847,0.39297564253211026,2.5022663780488075,0.09289467422291635,100,24.9,7.091544260596559,48.0,11.0,37.0,0.284800974321147,37.0,7.444444444444445,23.58,26.22,2.6400000000000006,0.1060240963855422,0.0,0.019453125,0.13153906250000003,0.6253826759338379,5.62,0.7055620339042834,False
3,0.6727395724970847,-0.12414321377873416,10.507366719283162,0.09289467422291635,100,884.02,20.93226218066265,928.0,834.0,94.0,0.023678493903602466,60.0,17.949494949494948,885.62,882.42,3.2000000000000455,0.0036198276057103295,0.0,0.6906406249999999,0.08922656250000001,0.643052449798584,146.55,0.1759509982325232,False
4,0.6727395724970847,-0.12414321377873416,2.5022663780488075,0.12157831206917762,100,765.2,19.66011190202131,822.0,718.0,104.0,0.025692775616860047,61.0,19.353535353535353,771.92,758.48,13.43999999999994,0.017564035546262336,0.0,0.5978125,0.08981250000000002,0.6386787715911866,188.63,0.23961933950353925,False
5,0.8787831726949662,0.39297564253211026,10.507366719283162,0.12157831206917762,100,5.72,3.228250300085172,14.0,0.0,14.0,0.5643794230918133,11.0,3.3333333333333335,6.42,5.02,1.4000000000000004,0.24475524475524482,0.02,0.0044687500000000005,0.0006171875000000001,0.6510668243408203,2.08,1.7343550976150266,True
6,0.246988988481462,0.40771510675549516,15.706631660927085,0.04546140844002366,100,51.01,7.007845603322037,72.0,34.0,38.0,0.13738179971225323,28.0,8.505050505050505,50.3,51.72,1.4200000000000017,0.02783767888649288,0.0,0.0398515625,0.9973203124999999,0.5933493274688721,0.11,0.1453776684354955,False
7,0.37003983287140724,0.40771510675549516,15.706631660927085,0.04546140844002366,100,62.6,8.0820789404707,83.0,42.0,41.0,0.12910669233978753,24.0,10.05050505050505,60.6,64.6,3.999999999999993,0.06389776357827465,0.0,0.04890625,0.9905078125,0.4401740394592285,0.46,0.2562233035663749,False
8,0.246988988481462,-0.05561854764819141,15.706631660927085,0.04546140844002366,100,516.34,29.891543954770885,585.0,460.0,125.0,0.05789120338298579,42.0,14.06060606060606,533.96,498.72,35.24000000000001,0.06824960297478407,0.0,0.4033906249999999,0.98628125,0.6712255462646485,51.22,0.1422965472198352,False
9,0.246988988481462,0.40771510675549516,3.496816435176879,0.04546140844002366,100,79.26,11.852949000143383,109.0,44.0,65.0,0.14954515518727457,38.0,12.393939393939394,74.38,84.14,9.760000000000005,0.12313903608377498,0.0,0.061921875,0.9963046874999999,0.57732416305542,0.33,0.5041537632841424,False
10,0.246988988481462,0.40771510675549516,15.706631660927085,0.04829953586682677,100,39.62,6.655493971148948,56.0,24.0,32.0,0.16798318957973116,26.0,6.737373737373737,37.4,41.84,4.440000000000005,0.11206461383139842,0.0,0.030953124999999995,0.9970312499999998,0.5964658084869385,0.09,0.5008596226261358,False
11,0.37003983287140724,-0.05561854764819141,3.496816435176879,0.04829953586682677,100,465.83,32.61535068031616,545.0,406.0,139.0,0.07001556507806746,58.0,17.343434343434343,471.86,459.8,12.060000000000002,0.02588927291071851,0.0,0.3639296875000001,0.9398203125000001,0.32962514095306394,62.76,0.14517185508753458,False
12,0.32742318562231953,-0.15496472194790836,9.156119275838135,0.1255664063617587,100,625.82,20.859232967681244,672.0,580.0,92.0,0.033331042420634116,55.0,15.95959595959596,634.6,617.04,17.56000000000006,0.028059186347512158,0.0,0.488921875,0.8769218749999999,0.5468930404663087,165.95,0.04497171538320709,False
13,0.2523421151097864,-0.15496472194790836,9.156119275838135,0.1255664063617587,100,625.82,20.859232967681244,672.0,580.0,92.0,0.033331042420634116,55.0,15.95959595959596,634.6,617.04,17.56000000000006,0.028059186347512158,0.0,0.488921875,0.8769218749999999,0.5468930404663087,165.95,0.04497171538320709,False
14,0.32742318562231953,-0.20653621181845663,9.156119275838135,0.1255664063617587,100,742.56,17.745038743265678,780.0,697.0,83.0,0.023897110998795625,52.0,14.727272727272727,743.2,741.92,1.2800000000000864,0.001723766429648899,0.0,0.580125,0.8759687499999999,0.5641323154449462,184.29,0.0,False
15,0.32742318562231953,-0.15496472194790836,14.963980081584303,0.1255664063617587,100,555.66,18.08934493009628,598.0,505.0,93.0,0.0325547005904623,52.0,15.262626262626263,552.02,559.3,7.279999999999973,0.013101536911060672,0.0,0.43410937499999996,0.8782812500000001,0.6071942028045655,155.29,0.0,False
16,0.32742318562231953,-0.15496472194790836,9.156119275838135,0.0243564042635262,100,661.86,21.556910724869645,710.0,605.0,105.0,0.03257019720918267,39.0,12.383838383838384,673.42,650.3,23.120000000000005,0.03493185870123592,0.0,0.5170781249999999,0.953984375,0.4315919330596924,30.3,0.02509196696996021,False
17,0.2523421151097864,-0.20653621181845663,14.963980081584303,0.0243564042635262,100,722.14,14.428457991067516,761.0,685.0,76.0,0.019980139572752537,43.0,10.505050505050505,723.46,720.82,2.6399999999999864,0.003655800814246526,0.0,0.564171875,0.945015625,0.5038128658294678,30.46,0.0,False
18,0.7516789852641523,0.06356809809803965,10.235189051553606,0.012225106209516525,100,1077.41,15.342160864754351,1127.0,1042.0,85.0,0.014239853783382696,60.0,15.424242424242424,1082.94,1071.88,11.059999999999945,0.01026535859143682,0.0,0.8417265625,0.010210937500000001,0.6523229480743408,18.98,0.09302325581395349,False
19,0.5980531242676079,0.06356809809803965,10.235189051553606,0.012225106209516525,100,575.88,29.985423125245376,647.0,514.0,133.0,0.05206887394117764,54.0,17.252525252525253,597.38,554.38,43.0,0.0746683336806279,0.0,0.44990625,0.6457421875000001,0.4213119846343995,18.14,0.24522678128337788,False
20,0.7516789852641523,0.14408758804202082,10.235189051553606,0.012225106209516525,100,958.37,15.4218384118107,994.0,922.0,72.0,0.01609173744150036,45.0,17.303030303030305,960.98,955.76,5.220000000000027,0.005446748124419616,0.0,0.7487265624999998,0.010921875000000001,0.6508843379974365,18.86,0.05896667914638714,False
21,0.7516789852641523,0.06356809809803965,8.045791522413491,0.012225106209516525,100,1143.69,11.893439367987714,1175.0,1118.0,57.0,0.010399181043803577,35.0,10.646464646464647,1147.26,1140.12,7.1400000000001,0.006242950449859752,0.0,0.8935078125,0.0108515625,0.6507616744995118,19.0,0.0,False
22,0.7516789852641523,0.06356809809803965,10.235189051553606,0.08892004441469907,100,395.25,22.204672931615093,463.0,334.0,129.0,0.05617880564608499,73.0,19.636363636363637,395.38,395.12,0.2599999999999909,0.0006578115117014318,0.0,0.30878906250000004,0.0095859375,0.65471026763916,106.0,0.38963718840604944,False
23,0.5980531242676079,0.14408758804202082,8.045791522413491,0.08892004441469907,100,226.08,19.244053627029835,285.0,169.0,116.0,0.08512054859797344,85.0,18.303030303030305,224.52,227.64,3.119999999999976,0.013800424628449999,0.0,0.176625,0.548015625,0.5077092914581299,53.12,0.5239089522894889,False
24,0.8013148478232325,-0.25610725656151767,17.308747354894876,0.02992366442456841,100,759.73,17.840322306505566,802.0,710.0,92.0,0.023482450747641354,62.0,20.060606060606062,758.34,761.12,2.7799999999999727,0.003659194713911485,0.0,0.5935390625,0.0100625,0.652425263595581,46.47,0.2774546594342333,False
25,0.532506992155686,-0.25610725656151767,17.308747354894876,0.02992366442456841,100,587.53,17.86754319989181,636.0,549.0,87.0,0.030411286572416405,50.0,15.808080808080808,581.6,593.46,11.860000000000014,0.020186203257706013,0.0,0.4590078125,0.5957343749999999,0.4763768131256103,44.2,0.0035567203294645886,False
26,0.8013148478232325,0.2727522991597653,17.308747354894876,0.02992366442456841,100,148.74,18.54163962544845,207.0,112.0,95.0,0.12465805852795785,62.0,14.05050505050505,160.72,136.76,23.960000000000008,0.16108645959392232,0.0,0.11620312499999998,0.010078125,0.6513653728485107,14.47,0.7057864251405316,False
27,0.8013148478232325,-0.25610725656151767,17.431334823649376,0.02992366442456841,100,749.84,17.34919018282986,791.0,702.0,89.0,0.0231371895108688,67.0,18.939393939393938,749.62,750.06,0.4399999999999409,0.0005867918489276924,0.0,0.5858125000000001,0.011367187500000002,0.6541191017150879,46.17,0.29403672520526225,False
28,0.8013148478232325,-0.25610725656151767,17.308747354894876,0.03422640040516853,100,757.43,15.843771646928012,788.0,709.0,79.0,0.020917803159272823,63.0,18.232323232323232,758.72,756.14,2.580000000000041,0.003406255363531998,0.0,0.5917421875,0.011210937500000002,0.6531775695800782,53.48,0.22131768434433574,False
